#timestamp	handle	langs	wds_min	wds_max	wds_mea	wds_std	wds_mms	wds_mps	tpr_min	tpr_max	tpr_mea	tpr_std	tpr_mms	tpr_mps	tnr_min	tnr_max	tnr_mea	tnr_std	tnr_mms	tnr_mps	fpr_min	fpr_max	fpr_mea	fpr_std	fpr_mms	fpr_mps	fnr_min	fnr_max	fnr_mea	fnr_std	fnr_mms	fnr_mps	acc_min	acc_max	acc_mea	acc_std	acc_mms	acc_mps	pre_min	pre_max	pre_mea	pre_std	pre_mms	pre_mps	spe_min	spe_max	spe_mea	spe_std	spe_mms	spe_mps
1534684225	9018016	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.18	1.28	0.40	0.88	1.68
1534810174	17ad095	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.24	1.29	0.40	0.88	1.69
1535114939	dafbbf4	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.22	1.27	0.40	0.87	1.67
1535149318	4cbda4f	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.02	1.27	0.39	0.89	1.66
1535282415	efae96e	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.44	2.23	1.29	0.40	0.89	1.69
1535314044	a6a41f4	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.44	2.15	1.31	0.40	0.91	1.71
1535479405	07fd046	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.34	1.29	0.41	0.88	1.70
1535539740	caa4f00	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.32	1.30	0.40	0.89	1.70
1536335701	9aac1a3	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.30	1.27	0.40	0.87	1.66
1536962409	ea27258	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.26	1.28	0.40	0.88	1.68
1537452783	4b6f8f9	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.27	1.28	0.40	0.88	1.67
1537963467	facd49a	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.20	1.27	0.39	0.89	1.66
1538247806	86f81a7	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.24	1.28	0.37	0.91	1.65
1538589759	abde1d9	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.44	2.22	1.29	0.38	0.91	1.67
1538822046	367115a	85	18	3802878	275377.2	474288.5	18.0	749665.7	0.411	1.000	0.961	0.098	0.863	1.000	0.000	0.589	0.036	0.098	0.000	0.134	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.43	2.24	1.27	0.38	0.90	1.65
1539117379	d19aab5	86	18	3802878	272217.5	472400.0	18.0	744617.4	0.411	1.000	0.961	0.098	0.864	1.000	0.000	0.589	0.036	0.097	0.000	0.133	0.000	0.004	0.000	0.000	0.000	0.001	0.000	0.098	0.003	0.015	0.000	0.018	0.902	1.000	0.997	0.015	0.982	1.000	0.996	1.000	1.000	0.000	0.999	1.000	0.44	2.15	1.26	0.37	0.89	1.63
